,power,current,time
701,0.514,99.0,3552
702,0.514,99.0,3557
703,0.514,99.0,3563
704,0.514,98.9,3568
705,0.512,98.9,3573
706,0.512,98.9,3578
707,0.512,98.9,3583
708,0.512,98.9,3588
709,0.512,98.9,3593
710,0.512,98.9,3598
711,0.512,98.9,3603
712,0.512,98.9,3609
713,0.512,98.9,3614
714,0.512,98.9,3619
715,0.512,98.9,3624
716,0.512,98.9,3629
717,0.512,98.8,3633
718,0.512,98.8,3638
719,0.512,98.8,3643
720,0.512,98.8,3649
721,0.512,98.8,3654
722,0.512,98.8,3659
723,0.512,98.8,3664
724,0.512,98.8,3669
725,0.512,98.8,3674
726,0.512,98.8,3679
727,0.512,98.8,3684
728,0.512,98.8,3690
729,0.512,98.8,3695
730,0.512,98.9,3700
731,0.514,98.9,3705
732,0.514,98.9,3710
733,0.514,98.9,3715
734,0.514,98.9,3720
735,0.514,98.9,3725
736,0.514,98.9,3729
737,0.514,98.9,3735
738,0.514,98.9,3740
739,0.514,98.9,3745
740,0.514,98.9,3750
741,0.514,98.9,3755
742,0.514,98.9,3760
743,0.514,98.9,3765
744,0.512,98.9,3770
745,0.512,98.9,3776
746,0.512,98.9,3781
747,0.512,98.9,3786
748,0.512,98.9,3791
749,0.512,98.9,3796
750,0.512,98.9,3801
751,0.512,98.9,3806
752,0.512,98.9,3811
753,0.512,98.9,3816
754,0.512,98.9,3822
755,0.512,98.9,3827
756,0.512,99.0,3831
757,0.514,99.0,3836
758,0.514,99.0,3841
759,0.514,99.0,3846
760,0.514,99.0,3851
761,0.514,99.0,3856
762,0.514,99.0,3862
763,0.514,99.0,3867
764,0.514,99.0,3872
765,0.514,99.0,3877
766,0.514,99.0,3882
767,0.514,99.0,3887
768,0.514,99.0,3892
769,0.514,98.9,3897
770,0.514,98.9,3902
771,0.514,98.9,3908
772,0.514,98.9,3913
773,0.514,98.9,3918
774,0.514,98.9,3922
775,0.514,98.9,3927
776,0.514,98.9,3932
777,0.514,98.9,3937
778,0.514,98.9,3942
779,0.514,98.9,3948
780,0.514,98.9,3953
781,0.514,98.9,3958
782,0.514,103.8,3963
783,0.538,103.8,3968
784,0.538,103.8,3973
785,0.538,103.8,3978
786,0.538,103.8,3983
787,0.538,103.8,3989
788,0.538,103.8,3994
789,0.538,103.8,3999
790,0.538,103.8,4004
791,0.538,103.8,4009
792,0.538,103.8,4014
793,0.538,103.8,4019
794,0.538,103.8,4024
795,0.538,102.2,4029
796,0.53,102.2,4035
797,0.53,102.2,4040
798,0.53,102.2,4045
799,0.53,102.2,4050
800,0.53,102.2,4055
801,0.53,102.2,4060
802,0.53,102.2,4065
803,0.53,102.2,4070
804,0.53,102.2,4076
805,0.53,102.2,4081
806,0.53,102.2,4086
807,0.53,102.2,4091
808,0.53,96.80001,4096
809,0.502,96.80001,4101
810,0.502,96.80001,4106
811,0.502,96.80001,4111
812,0.502,96.80001,4117
813,0.502,96.80001,4122
814,0.502,96.80001,4127
815,0.502,96.80001,4132
816,0.502,96.80001,4137
817,0.502,96.80001,4142
818,0.502,96.80001,4147
819,0.502,96.80001,4152
820,0.502,96.80001,4157
